split_seed,model,train_cohort,test_cohort,within_roc_auc,external_roc_auc,roc_auc_change,within_pr_auc,external_pr_auc,pr_auc_change,within_brier_score,external_brier_score,brier_score_change
23,Logistic Regression,Cleveland,Hungary,0.8926829268292683,0.8792151746286634,-0.013467752200604921,0.9007594375053184,0.8303344273515154,-0.07042501015380298,0.12956383046484196,0.12769127843557257,-0.001872552029269392
23,Random Forest,Cleveland,Hungary,0.9024390243902439,0.8925130469690887,-0.009925977421155197,0.9088143044752525,0.8357278194843523,-0.0730864849909002,0.1284352658417095,0.1271617419983426,-0.0012735238433669027
23,Logistic Regression,Hungary,Cleveland,0.8715524034672971,0.8506316897701351,-0.020920713697161974,0.8434695900796985,0.8302472427782771,-0.013222347301421356,0.1294770404168907,0.15846881804010104,0.02899177762321034
23,Random Forest,Hungary,Cleveland,0.8731284475965326,0.8620371995086856,-0.011091248087847005,0.8444154456077064,0.8562801521887583,0.011864706581051876,0.13154562490328472,0.1552341468242365,0.023688521920951777
24,Logistic Regression,Cleveland,Hungary,0.9191637630662022,0.8625551987153753,-0.05660856435082684,0.8950893074433295,0.8213916823451383,-0.07369762509819122,0.11511587824985622,0.15769208487939504,0.042576206629538815
24,Random Forest,Cleveland,Hungary,0.9010452961672473,0.8737454837414693,-0.027299812425777947,0.8855307815709961,0.8141255962046035,-0.07140518536639262,0.13487592118796887,0.14201147417063664,0.00713555298266777
24,Logistic Regression,Hungary,Cleveland,0.8289992119779354,0.8526495876469556,0.023650375669020285,0.8054165116699532,0.8491635346838562,0.043747023013902986,0.16704896368514927,0.1569162600582448,-0.010132703626904466
24,Random Forest,Hungary,Cleveland,0.8565799842395587,0.8433058431303737,-0.013274141109185011,0.8103315025844864,0.8321046170138691,0.02177311442938268,0.15893395706645128,0.16372005266634165,0.004786095599890378
25,Logistic Regression,Cleveland,Hungary,0.8968641114982578,0.8748494580489763,-0.02201465344928155,0.8977450604318769,0.831387462240851,-0.06635759819102582,0.12080157232594904,0.14157214755995456,0.020770575234005523
25,Random Forest,Cleveland,Hungary,0.8996515679442509,0.8810216780409474,-0.018629889903303498,0.8866288020307804,0.8213278405741016,-0.06530096145667885,0.13661786702776704,0.14176209071874107,0.005144223690974031
25,Logistic Regression,Hungary,Cleveland,0.8849487785657998,0.8374276188805054,-0.047521159685294356,0.7839782336483887,0.8260212454110575,0.04204301176266878,0.15057890064797766,0.1703433954522116,0.01976449480423395
25,Random Forest,Hungary,Cleveland,0.8739164696611506,0.8422968941919634,-0.031619575469187144,0.7874500160142008,0.8410080101123609,0.05355799409816009,0.147673707211253,0.16438450022945597,0.01671079301820297
26,Logistic Regression,Cleveland,Hungary,0.8327526132404182,0.8781613809714973,0.04540876773107916,0.840819883771041,0.835557936380305,-0.005261947390736044,0.16814301762417155,0.12438810843664068,-0.043754909187530874
26,Random Forest,Cleveland,Hungary,0.8383275261324041,0.8913588920112405,0.05303136587883639,0.8449819389492862,0.8315472607571962,-0.013434678192089988,0.1651927770342496,0.12643775129465884,-0.03875502573959075
26,Logistic Regression,Hungary,Cleveland,0.8991331757289205,0.8429110370240392,-0.05622213870488124,0.8668270646844145,0.831868547172087,-0.03495851751232748,0.13074831978325271,0.1629114011450299,0.032163081361777174
26,Random Forest,Hungary,Cleveland,0.863672182821119,0.8424723635725566,-0.0211998192485624,0.8275665898006324,0.8352374477735054,0.007670857972873035,0.1431200251191557,0.16248166390058785,0.019361638781432156
27,Logistic Regression,Cleveland,Hungary,0.889198606271777,0.883329987956644,-0.005868618315133078,0.8975356009140697,0.8350184457387423,-0.06251715517532741,0.1411915136567352,0.12594307678496738,-0.015248436871767829
27,Random Forest,Cleveland,Hungary,0.89198606271777,0.8912083500602167,-0.0007777126575533311,0.8826333163930997,0.837065363043003,-0.04556795335009667,0.13751975301085712,0.12761275461298707,-0.009906998397870043
27,Logistic Regression,Hungary,Cleveland,0.9180457052797477,0.8382172310931743,-0.07982847418657346,0.9114244106758798,0.8207084139990661,-0.09071599667681363,0.09677613890252819,0.1663747703853613,0.06959863148283311
27,Random Forest,Hungary,Cleveland,0.9267139479905437,0.8480873837515354,-0.07862656423900838,0.8958102503135386,0.8422368352056478,-0.05357341510789071,0.10709899045639895,0.16192672474646416,0.05482773429006521
28,Logistic Regression,Cleveland,Hungary,0.9219512195121952,0.8743978321959052,-0.04755338731629,0.9207069558553953,0.8337153326687198,-0.08699162318667553,0.11435254654746857,0.13520997677614535,0.020857430228676782
28,Random Forest,Cleveland,Hungary,0.9226480836236934,0.8905058209554395,-0.03214226266825393,0.9134654678902603,0.8355072450702834,-0.07795822281997689,0.12856829465298655,0.12955344986438738,0.0009851552114008288
28,Logistic Regression,Hungary,Cleveland,0.929866036249015,0.8367696087032812,-0.09309642754573377,0.8977018275756248,0.8246484240068654,-0.07305340356875933,0.10363171193317805,0.16585609868012874,0.06222438674695069
28,Random Forest,Hungary,Cleveland,0.9038613081166272,0.8498859449026145,-0.05397536321401275,0.8704775033410082,0.8439456719632702,-0.026531831377737958,0.1211763955142812,0.16158426198503098,0.04040786647074979
29,Logistic Regression,Cleveland,Hungary,0.8836236933797909,0.8822761942994781,-0.0013474990803127307,0.8878502484265898,0.8412819719388579,-0.046568276487731874,0.13727379563317652,0.12946811870227487,-0.007805676930901645
29,Random Forest,Cleveland,Hungary,0.8515679442508711,0.8904556403050983,0.03888769605422715,0.8683824606508384,0.8404765518826122,-0.027905908768226184,0.1565902168273115,0.13253499520659565,-0.024055221620715855
29,Logistic Regression,Hungary,Cleveland,0.9022852639873916,0.8380856290577293,-0.0641996349296623,0.8663328878400751,0.8232343020862679,-0.043098585753807206,0.12625449172760392,0.16589419736569838,0.03963970563809446
29,Random Forest,Hungary,Cleveland,0.8904649330181245,0.8617301280926478,-0.028734804925476642,0.8448144317548851,0.8592937223656967,0.014479290610811546,0.1296956959184869,0.15825773471856278,0.02856203880007588
